name,path,sourceUrl,imageUrl,provider
魏大勋,assets/people/魏大勋.jpg,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%A4%A7%E5%8B%8B,https://upload.wikimedia.org/wikipedia/commons/3/38/2023.11.25_%E9%AD%8F%E5%A4%A7%E5%8B%9B%E6%96%BC%E6%84%9B%E5%A5%87%E8%97%9D%E5%B0%96%E5%8F%AB%E4%B9%8B%E5%A4%9C.jpg,ZH Wikipedia
魏哲鸣,assets/people/魏哲鸣.jpg,https://baike.baidu.com/item/%E9%AD%8F%E5%93%B2%E9%B8%A3,"https://bkimg.cdn.bcebos.com/pic/9213b07eca8065380cd7a6de8f85b644ad34588224fc?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
魏子越,assets/people/魏子越.jpg,https://baike.baidu.com/item/%E9%AD%8F%E5%AD%90%E8%B6%8A/23277578,"https://bkimg.cdn.bcebos.com/pic/267f9e2f0708283898726a31b799a9014c08f19c?x-bce-process=image/format,f_auto",KCrush
吴磊,assets/people/吴磊.jpg,https://zh.wikipedia.org/wiki/%E5%90%B4%E7%A3%8A,https://upload.wikimedia.org/wikipedia/commons/2/20/Wu_Lei_from_%22Dwelling_by_the_West_Lake%22_at_Red_Carpet_of_the_Tokyo_International_Film_Festival_2023_%2853348376819%29.jpg,ZH Wikipedia
吾木提,assets/people/吾木提.jpg,https://baike.baidu.com/item/%E5%90%BE%E6%9C%A8%E6%8F%90%C2%B7%E5%90%90%E5%B0%94%E9%80%8A,"https://bkimg.cdn.bcebos.com/pic/c83d70cf3bc79f3df8dcd64e1bf7da11728b4710830d?x-bce-process=image/format,f_auto",KCrush
吴世勋,assets/people/吴世勋.jpg,https://zh.wikipedia.org/wiki/%E5%90%B3%E4%B8%96%E5%8B%B3,https://upload.wikimedia.org/wikipedia/commons/2/2f/Oh_Se-hoon_%282023%29.jpg,ZH Wikipedia
吴亦凡,assets/people/吴亦凡.jpg,https://zh.wikipedia.org/wiki/%E5%90%B3%E4%BA%A6%E5%87%A1,https://upload.wikimedia.org/wikipedia/commons/2/26/%E5%92%AA%E5%92%95%E9%9F%B3%E4%B9%90%E7%9B%9B%E5%85%B8_%2824%29.jpg,ZH Wikipedia
吴宇恒,assets/people/吴宇恒.jpg,https://baike.baidu.com/subview/2098182/24914238.htm,"https://bkimg.cdn.bcebos.com/pic/a8014c086e061d950a7b7156efad1dd162d9f2d35c11?x-bce-process=image/format,f_auto",KCrush
吴尊,assets/people/吴尊.jpg,https://zh.wikipedia.org/wiki/%E5%90%B3%E5%B0%8A,https://upload.wikimedia.org/wikipedia/commons/4/4b/Wu_Chun_%28Goh_Kiat_Chun%29%2C_29_August_2008.jpg,ZH Wikipedia
夏瀚宇,assets/people/夏瀚宇.jpg,https://baike.baidu.com/item/%E5%A4%8F%E7%80%9A%E5%AE%87,"https://bkimg.cdn.bcebos.com/pic/f636afc379310a55b319d5d1141354a98226cffcbac2?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
夏之光,assets/people/夏之光.jpg,https://zh.wikipedia.org/wiki/%E5%A4%8F%E4%B9%8B%E5%85%89,https://upload.wikimedia.org/wikipedia/commons/8/83/Xia_Zhiguang_-_Big_Show.jpg,ZH Wikipedia
肖德俊,assets/people/肖德俊.jpg,https://baike.baidu.com/item/%E8%82%96%E4%BF%8A/23558681,"https://bkimg.cdn.bcebos.com/pic/ae51f3deb48f8c5494ee4def877f3af5e0fe9825d1ee?x-bce-process=image/format,f_auto",KCrush
肖战,assets/people/肖战.jpg,https://zh.wikipedia.org/wiki/%E8%82%96%E6%88%B0,https://upload.wikimedia.org/wikipedia/commons/1/15/Xiao_Zhan_at_the_Weibo_Night_Ceremony_January_11_2020.jpg,ZH Wikipedia
谢兴阳,assets/people/谢兴阳.jpg,https://baike.baidu.com/item/%E8%B0%A2%E5%85%B4%E9%98%B3,"https://bkimg.cdn.bcebos.com/pic/342ac65c10385343d05d9a379c13b07eca808811?x-bce-process=image/format,f_auto",KCrush
邢昭林,assets/people/邢昭林.jpg,https://baike.baidu.com/item/%E9%82%A2%E6%98%AD%E6%9E%97,"https://bkimg.cdn.bcebos.com/pic/342ac65c103853432c83335e9913b07eca808805?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
熊梓淇,assets/people/熊梓淇.jpg,https://zh.wikipedia.org/wiki/%E7%86%8A%E6%A2%93%E6%B7%87,https://upload.wikimedia.org/wikipedia/commons/3/39/Xiong_Ziqi_from_%22Snow_Leopard%22_at_Red_Carpet_of_the_Tokyo_International_Film_Festival_2023_%2853348339784%29.jpg,ZH Wikipedia
徐炳超,assets/people/徐炳超.jpg,https://baike.baidu.com/item/%E5%BE%90%E7%82%B3%E8%B6%85,"https://bkimg.cdn.bcebos.com/pic/a50f4bfbfbedab643999d44ef936afc378311e50?x-bce-process=image/format,f_auto",KCrush
许凯,assets/people/许凯.png,https://zh.wikipedia.org/wiki/%E8%A8%B1%E5%87%B1,https://upload.wikimedia.org/wikipedia/commons/d/d4/Xu_Kai_%E3%80%8A%E5%BB%B6%E7%A6%A7%E3%80%8B%E6%BC%94%E5%93%A1%E9%81%8E%E4%B8%AD%E7%A7%8B_2018-09-25.png,ZH Wikipedia
许魏洲,assets/people/许魏洲.jpg,https://baike.baidu.com/item/%E8%AE%B8%E9%AD%8F%E6%B4%B2,"https://bkimg.cdn.bcebos.com/pic/91529822720e0cf3d7ca1114b71ee51fbe096a637c91?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
徐子未,assets/people/徐子未.jpg,https://baike.baidu.com/item/%E5%BE%90%E5%AD%90%E6%9C%AA/55900138,"https://bkimg.cdn.bcebos.com/pic/09fa513d269759ee3d6d9abbf9a054166d224f4a7135?x-bce-process=image/format,f_auto",KCrush
严浩翔,assets/people/严浩翔.jpg,https://baike.baidu.com/item/%E4%B8%A5%E6%B5%A9%E7%BF%94,"https://bkimg.cdn.bcebos.com/pic/b17eca8065380cd7912397e7f112ba345982b2b72b39?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
